iter	Passed	Remaining
268	13820	11868
269	13873	11817
270	13922	11764
271	13974	11713
272	14024	11661
273	14085	11617
274	14149	11576
275	14202	11526
276	14263	11482
277	14315	11431
278	14368	11381
279	14423	11332
280	14473	11280
281	14527	11230
282	14581	11180
283	14648	11141
284	14717	11103
285	14782	11061
286	14841	11015
287	14902	10970
288	14988	10943
289	15059	10904
290	15125	10863
291	15223	10844
292	15276	10792
293	15330	10742
294	15384	10691
295	15437	10639
296	15488	10586
297	15540	10534
298	15594	10483
299	15650	10433
300	15707	10384
301	15760	10332
302	15810	10279
303	15865	10229
304	15918	10177
305	15976	10129
306	16032	10078
307	16083	10026
308	16134	9972
309	16188	9922
310	16240	9869
311	16297	9820
312	16349	9767
313	16401	9715
314	16455	9664
315	16512	9615
316	16568	9564
317	16621	9512
318	16673	9460
319	16725	9408
320	16776	9355
321	16827	9301
322	16876	9248
323	16930	9197
324	16989	9148
325	17048	9099
326	17102	9048
327	17156	8996
328	17210	8945
329	17260	8892
330	17313	8839
331	17366	8787
332	17418	8735
333	17471	8683
334	17523	8631
335	17575	8578
336	17626	8525
337	17677	8472
338	17727	8419
339	17777	8365
340	17827	8312
341	17877	8258
342	17927	8205
343	17977	8152
344	18028	8099
345	18083	8048
346	18136	7996
347	18189	7944
348	18240	7892
349	18290	7838
350	18343	7786
351	18395	7734
352	18448	7682
353	18497	7628
354	18548	7576
355	18599	7523
356	18650	7470
357	18700	7417
358	18752	7365
359	18802	7312
360	18851	7258
361	18904	7206
362	18959	7155
363	19015	7104
364	19067	7052
365	19116	6998
366	19167	6946
367	19220	6894
368	19275	6842
369	19327	6790
370	19378	6738
371	19430	6685
372	19482	6633
373	19532	6580
374	19584	6528
375	19634	6475
376	19684	6422
377	19735	6369
378	19785	6316
379	19838	6264
380	19892	6213
381	19949	6162
382	20002	6110
383	20053	6057
384	20103	6005
385	20155	5952
386	20206	5900
387	20259	5848
388	20308	5795
389	20362	5743
390	20417	5691
391	20473	5640
392	20526	5588
393	20582	5537
394	20634	5485
395	20685	5432
396	20735	5379
397	20786	5327
398	20836	5274
399	20888	5222
